id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|descripcion|cantidad_presentacion|unidad_medida|marca|precio_lista|productos_precio_referencia|productos_cantidad_referencia|productos_unidad_medida_referencia|productos_precio_unitario_promo1|productos_leyenda_promo1|productos_precio_unitario_promo2|productos_leyenda_promo2
20|1|3|7790070411556|1|REBOZADOR PREFERIDO 1 KG.        |1.00|kg|MOLINOS RIO DL.PLATA|2550.00|2550.00|1.00|kg||||
20|1|4|7790070411556|1|REBOZADOR PREFERIDO 1 KG.        |1.00|kg|MOLINOS RIO DL.PLATA|2550.00|2550.00|1.00|kg||||
20|1|1|7790070411549|1|REBOZADOR PREFERIDO 500 GRS.|500.00|gr|MOLINOS RIO DL.PLATA|1340.00|2680.00|1.00|kg||||
20|1|2|7790070411549|1|REBOZADOR PREFERIDO 500 GRS.|500.00|gr|MOLINOS RIO DL.PLATA|1340.00|2680.00|1.00|kg||||
20|1|3|7790070411549|1|REBOZADOR PREFERIDO 500 GRS.|500.00|gr|MOLINOS RIO DL.PLATA|1340.00|2680.00|1.00|kg||||
20|1|4|7790070411549|1|REBOZADOR PREFERIDO 500 GRS.|500.00|gr|MOLINOS RIO DL.PLATA|1340.00|2680.00|1.00|kg||||
20|1|1|7790070411525|1|REBOZADOR PREFERIDO HORNO 1 KG.|1.00|kg|MOLINOS RIO DL.PLATA|2980.00|2980.00|1.00|kg||||
20|1|2|7790070411525|1|REBOZADOR PREFERIDO HORNO 1 KG.|1.00|kg|MOLINOS RIO DL.PLATA|2980.00|2980.00|1.00|kg||||
20|1|1|7790070411518|1|REBOZADOR PREFERIDO HORNO 500G|500.00|gr|MOLINOS RIO DL.PLATA|1550.00|3100.00|1.00|kg||||
20|1|2|7790070411518|1|REBOZADOR PREFERIDO HORNO 500G|500.00|gr|MOLINOS RIO DL.PLATA|1550.00|3100.00|1.00|kg||||
20|1|4|7790070411518|1|REBOZADOR PREFERIDO HORNO 500G|500.00|gr|MOLINOS RIO DL.PLATA|1550.00|3100.00|1.00|kg||||
20|1|1|7791422000510|1|REBOZADOR PRIMER PRECIO 400 GRS.|400.00|gr|ARAUJO SRL|799.00|1997.50|1.00|kg||||
20|1|2|7791422000510|1|REBOZADOR PRIMER PRECIO 400 GRS.|400.00|gr|ARAUJO SRL|799.00|1997.50|1.00|kg||||
20|1|3|7791422000510|1|REBOZADOR PRIMER PRECIO 400 GRS.|400.00|gr|ARAUJO SRL|799.00|1997.50|1.00|kg||||
20|1|1|7790580108489|1|RELLENO UNTABLE BON O BON 290G.|290.00|gr|ARCOR S.A.|5000.00|17241.38|1.00|kg||||
20|1|2|7790580108489|1|RELLENO UNTABLE BON O BON 290G.|290.00|gr|ARCOR S.A.|5000.00|17241.38|1.00|kg||||
20|1|1|6000001065118|1|REMOLACHA  KG.          |1.00|kg|VERDULERIA|2900.00|2900.00|1.00|kg||||
20|1|3|6000001065118|1|REMOLACHA  KG.          |1.00|kg|VERDULERIA|2900.00|2900.00|1.00|kg||||
20|1|4|6000001065118|1|REMOLACHA  KG.          |1.00|kg|VERDULERIA|2900.00|2900.00|1.00|kg||||
20|1|1|7792816000154|1|REPELENTE ESCUDO AEROSOL 180 CC|180.00|cm3|HECSPI|4290.00|23833.33|1.00|lt||||
20|1|2|7792816000154|1|REPELENTE ESCUDO AEROSOL 180 CC|180.00|cm3|HECSPI|4290.00|23833.33|1.00|lt||||
20|1|3|7792816000154|1|REPELENTE ESCUDO AEROSOL 180 CC|180.00|cm3|HECSPI|4290.00|23833.33|1.00|lt||||
20|1|4|7792816000154|1|REPELENTE ESCUDO AEROSOL 180 CC|180.00|cm3|HECSPI|4290.00|23833.33|1.00|lt||||
20|1|1|7790520009494|1|REPELENTE OFF AEROSOL 165 CC|165.00|cm3|SCJ INSECTICIDA|5295.00|31147.06|1.00|lt||||
20|1|2|7790520009494|1|REPELENTE OFF AEROSOL 165 CC|165.00|cm3|SCJ INSECTICIDA|5295.00|31147.06|1.00|lt||||
20|1|3|7790520009494|1|REPELENTE OFF AEROSOL 165 CC|165.00|cm3|SCJ INSECTICIDA|5295.00|31147.06|1.00|lt||||
20|1|4|7790520009494|1|REPELENTE OFF AEROSOL 165 CC|165.00|cm3|SCJ INSECTICIDA|5295.00|31147.06|1.00|lt||||
20|1|2|0000077900302|1|REPELENTE OFF CREMA 60G.|60.00|gr|SCJ INSECTICIDA|2090.00|34833.33|1.00|kg||||
20|1|3|0000077900302|1|REPELENTE OFF CREMA 60G.|60.00|gr|SCJ INSECTICIDA|2090.00|34833.33|1.00|kg||||
20|1|4|7796399001591|1|REVIVIDOR GOMAS SILISUR 600CC|600.00|cm3|PROBUSOL S.A.|5250.00|8750.00|1.00|lt||||
20|1|1|6000001050886|1|RICOTA MARIA LUISA KG.|1.00|kg|LACTEOS DOÑA LUISA|6900.00|6900.00|1.00|kg||||
20|1|2|6000001050886|1|RICOTA MARIA LUISA KG.|1.00|kg|LACTEOS DOÑA LUISA|6900.00|6900.00|1.00|kg||||
20|1|1|7790070228666|1|ROCIO VEGETAL COCINERO CLASICO 120G|120.00|gr|MOLINOS RIO DL.PLATA|3000.00|25000.00|1.00|kg||||
20|1|2|7790070228666|1|ROCIO VEGETAL COCINERO CLASICO 120G|120.00|gr|MOLINOS RIO DL.PLATA|3000.00|25000.00|1.00|kg||||
20|1|3|7790070228666|1|ROCIO VEGETAL COCINERO CLASICO 120G|120.00|gr|MOLINOS RIO DL.PLATA|3000.00|25000.00|1.00|kg||||
